ra,dec,mjd,mag_auto,filter,exposure
190.65740977655165,-26.719480107926476,57096.32059480809,20.659914,z,c4d_150315_074332_ooi_z_ls9
190.6552601960981,-26.727039988318115,57096.32059480809,20.665659,z,c4d_150315_074332_ooi_z_ls9
190.65327504531587,-26.733550344950757,57096.32059480809,20.521086,z,c4d_150315_074332_ooi_z_ls9
190.65240261521387,-26.728230951683173,57096.32059480809,20.226164,z,c4d_150315_074332_ooi_z_ls9
190.6511931095381,-26.733511850686167,57096.32059480809,21.169035,z,c4d_150315_074332_ooi_z_ls9
190.659347669851,-26.70983310920027,57096.321630702354,20.623234,r,c4d_150315_074501_ooi_r_ls9
190.67258070139732,-26.72145459512154,57096.321630702354,21.165716,r,c4d_150315_074501_ooi_r_ls9
190.65934724896618,-26.709829644315185,57096.322659863625,20.427025,i,c4d_150315_074626_ooi_i_v1
190.655260273117,-26.727029704931912,57096.322659863625,21.157417,i,c4d_150315_074626_ooi_i_v1
190.65326332056998,-26.73354692442437,57096.322659863625,20.969433,i,c4d_150315_074626_ooi_i_v1
190.67260459167056,-26.721444781958372,57096.322659863625,20.342894,i,c4d_150315_074626_ooi_i_v1
190.6524012088323,-26.73266640916205,57096.322659863625,20.503847,i,c4d_150315_074626_ooi_i_v1
190.65239201246612,-26.72821354583782,57096.322659863625,20.929016,i,c4d_150315_074626_ooi_i_v1
190.66786153255168,-26.715613410450814,57096.322659863625,20.451857,i,c4d_150315_074626_ooi_i_v1
190.66121044084394,-26.7334831893744,57096.323690062854,20.489271,z,c4d_150315_074800_ooi_z_ls9
190.67822694755074,-26.728778448672717,57096.323690062854,20.637007,z,c4d_150315_074800_ooi_z_ls9
190.67346863785187,-26.718389821716467,57096.323690062854,21.104948,z,c4d_150315_074800_ooi_z_ls9
190.67094777378497,-26.72926037463125,57096.323690062854,20.850405,z,c4d_150315_074800_ooi_z_ls9
190.66871213587058,-26.72686226447102,57096.323690062854,20.921408,z,c4d_150315_074800_ooi_z_ls9
190.65934614519426,-26.709837167772587,57096.323690062854,20.379625,z,c4d_150315_074800_ooi_z_ls9
190.65741396500275,-26.7194801607441,57096.323690062854,20.894537,z,c4d_150315_074800_ooi_z_ls9
190.65526790111596,-26.727025683872252,57096.323690062854,20.716074,z,c4d_150315_074800_ooi_z_ls9
190.65327862416342,-26.733542783474533,57096.323690062854,20.532354,z,c4d_150315_074800_ooi_z_ls9
190.65121285355212,-26.733514734491088,57096.323690062854,20.96903,z,c4d_150315_074800_ooi_z_ls9
190.67171562612432,-26.71245030973396,57096.327787436545,20.30142,r,c4d_150315_075717_ooi_r_ls9
190.67259884319833,-26.721446193254216,57096.327787436545,21.100536,r,c4d_150315_075717_ooi_r_ls9
190.65935280414206,-26.70982909121119,57096.327787436545,20.588116,r,c4d_150315_075717_ooi_r_ls9
190.67260096993277,-26.721442751123266,57096.331215049606,21.161037,r,c4d_150315_080216_ooi_r_ls9
190.65934908826003,-26.7098260713049,57096.331215049606,20.572012,r,c4d_150315_080216_ooi_r_ls9
190.6717158726272,-26.71244720426624,57096.331215049606,20.319876,r,c4d_150315_080216_ooi_r_ls9
190.65934564321262,-26.70982650990641,57096.33462744672,20.593756,r,c4d_150315_080708_ooi_r_ls9
190.67259006709864,-26.721445857851734,57096.33462744672,21.141855,r,c4d_150315_080708_ooi_r_ls9
190.67172091587554,-26.712448843252215,57096.33462744672,20.309427,r,c4d_150315_080708_ooi_r_ls9
190.6512152531212,-26.73354260604307,57096.3380496474,21.185163,i,c4d_150315_081318_ooi_i_v1
190.67260156900625,-26.721451901064842,57096.3380496474,20.324621,i,c4d_150315_081318_ooi_i_v1
190.6678432293179,-26.715600989013296,57096.3380496474,20.356009,i,c4d_150315_081318_ooi_i_v1
190.6593502470967,-26.70983305779113,57096.3380496474,20.43218,i,c4d_150315_081318_ooi_i_v1
190.6552471184131,-26.7270295700789,57096.3380496474,21.150335,i,c4d_150315_081318_ooi_i_v1
190.65327121628744,-26.733536979329724,57096.3380496474,20.950857,i,c4d_150315_081318_ooi_i_v1
190.65244996153467,-26.732703814731142,57096.3380496474,20.50628,i,c4d_150315_081318_ooi_i_v1
190.65240782700158,-26.728200382836004,57096.3380496474,20.789248,i,c4d_150315_081318_ooi_i_v1
190.6725976344289,-26.72144104674278,57096.342230120674,20.343163,i,c4d_150315_081914_ooi_i_v1
190.65120614139641,-26.7335484931482,57096.342230120674,21.112919,i,c4d_150315_081914_ooi_i_v1
190.65239671822812,-26.72819728063421,57096.342230120674,20.736273,i,c4d_150315_081914_ooi_i_v1
190.65234500561468,-26.732650186352615,57096.342230120674,20.4273,i,c4d_150315_081914_ooi_i_v1
190.6532684086406,-26.733544635851334,57096.342230120674,20.88426,i,c4d_150315_081914_ooi_i_v1
190.6593478655352,-26.70983002873894,57096.342230120674,20.432894,i,c4d_150315_081914_ooi_i_v1
190.66784911011584,-26.71561426327104,57096.342230120674,20.431812,i,c4d_150315_081914_ooi_i_v1
190.6552639998307,-26.72702997881331,57096.34642048227,21.1556,i,c4d_150315_082514_ooi_i_v1
190.6726005535356,-26.721444477681313,57096.34642048227,20.293459,i,c4d_150315_082514_ooi_i_v1
190.66784067939855,-26.715610465636107,57096.34642048227,20.399261,i,c4d_150315_082514_ooi_i_v1
190.6593448654957,-26.709824465917084,57096.34642048227,20.421572,i,c4d_150315_082514_ooi_i_v1
