ra,dec,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,parallax_over_error,ruwe,astrometric_excess_noise,astrometric_gof_al,phot_g_mean_mag,bp_rp,source_id,random_index
270.7643894405322,46.12160496335621,25.10135946168519,-21.856734846304285,0.140531,0.14346,5.570839369433651,0.117456,47.42929,1.012557,0.482959,0.351454,18.368046,3.263472,2116104857454280192,202811
272.35562592006164,42.21788842830769,-1.4712389715309828,-13.785497651996682,0.045886,0.048196,0.8741094082392471,0.038656,22.612715,0.933034,0,-1.830692,16.619173,1.094192,2113898176273470720,245452
272.7189904977739,42.9519010293568,-3.930586083906846,-12.356811443061588,0.059647,0.059731,0.5315433090037902,0.052122,10.197996,0.999925,0,0.02428,17.062603,0.995302,2114028605840264704,271526
270.9467239613682,43.39578996658805,-7.884578174799284,7.262627083629951,0.047277,0.052128,1.6538346262899641,0.042187,39.202126,1.052945,0.077933,1.513634,16.852316,1.910983,2114214904341932032,325566
269.17782134849637,42.74884113859474,4.947391337553531,2.275788377283801,0.028521,0.02991,1.067932836266165,0.024108,44.29878,0.95963,0,-1.064264,15.613242,1.02543,1345397032301161216,334255
270.15722745601516,42.60968138087148,-0.7226039684599291,-5.325128015230481,0.030586,0.036229,0.5260812097769643,0.028663,18.354118,0.926376,0,-1.935974,15.99358,0.857017,2113829422437399424,363955
270.2546075594673,47.04842890566368,4.975801099527206,-2.5943831162818207,0.071007,0.072846,0.8626588868784508,0.055887,15.435734,0.967218,0,-0.854593,17.302254,1.583366,2116543498170381312,413831
268.36270420153005,44.88086908241291,-0.5933775471574895,-3.1108679128414662,0.014374,0.016121,0.6996116779745252,0.011654,60.03262,1.035865,0,0.956628,13.806127,0.886349,1349530714984264832,423645
267.6287963560458,42.2124451390214,-7.223589059802894,4.13730180367269,0.087168,0.102843,0.6367567029330904,0.084057,7.575307,1.028483,0.152828,0.756378,17.820831,1.032778,1346027426124952576,459403
272.2506706334486,43.992915290019965,-1.9244235124203177,3.505356771749747,0.028337,0.030491,0.5971322725329966,0.023671,25.226398,1.024452,0,0.67656,15.5886,1.0239,2115597918170716672,460329
268.21346412144936,44.154376102275286,-4.0447996243353,13.370461634495992,0.050381,0.054459,0.5538369375832156,0.045702,12.118362,0.984903,0,-0.39423,16.925499,0.968414,1349439627317669376,518411
270.74258706413474,47.70468173655404,-2.878269354695197,0.9939000414853418,0.059172,0.052483,0.4574265625163748,0.042236,10.830336,1.023633,0,0.640307,16.759407,0.892561,2116668047926384512,531767
267.5812947216692,42.32492307145172,-3.4346843068640593,-21.810164702814284,0.028069,0.028868,0.5962750169435027,0.025446,23.433016,1.044386,0.093601,1.187761,15.526945,0.862414,1346041277394657408,547219
272.8139459006046,43.72914145352595,-4.2516078735058525,6.594616477372183,0.146843,0.162368,2.672630906757013,0.125846,21.237394,1.001434,0.432864,0.063211,18.495998,2.564856,2115576404678435968,589345
271.03858189991695,42.459846619613685,1.6268657168731713,5.72754506879221,0.067131,0.072468,2.018498401910716,0.062983,32.04842,1.001906,0,0.075073,17.324148,2.227715,2113789324622644352,664843
272.85700086560905,45.38235737090973,-2.351659041397644,0.7960119808534145,0.025295,0.025477,0.7475856186747254,0.020001,37.377888,0.969935,0,-0.781334,15.234558,0.850068,2116141317433043456,675764
271.6159949993672,43.77323395919264,-2.409705982049723,-6.848460327524225,0.043306,0.043556,0.7096060256886066,0.036028,19.695885,0.992441,0,-0.171472,16.310486,1.072918,2114145978706784640,685651
270.6923633207094,46.875355271113136,-2.4634642950344436,-0.6984245063562143,0.029312,0.02819,0.4273323851453018,0.023865,17.906364,1.022038,0,0.610892,15.543784,0.828626,2116525631106441728,707500
271.77388116788023,45.47264791482811,-14.62204437696484,0.235495229804689,0.091742,0.104385,1.5381080841249164,0.082726,18.592901,1.034603,0,0.987203,18.067333,2.328833,2115839806432247424,722757
267.93668721134577,43.42162170299369,-9.30374401678558,4.342881601035728,0.014929,0.017643,0.3488676671719153,0.013511,25.820356,1.131265,0.121646,3.263267,11.597052,1.245946,1346353676135889024,732370
269.9938133802804,45.62233585704625,0.70437809716372,-2.642921733585985,0.046542,0.047872,0.2467482740192653,0.038703,6.375422,1.012596,0,0.358197,16.551641,0.827297,1349666985706788736,766227
270.4461069276417,44.73353551567272,2.3235414464217174,-2.059520664971031,0.0286,0.029307,0.7537298438061101,0.024842,30.340893,1.035146,0.041507,0.962465,15.652869,0.841119,2114422024844712192,793890
