id,ra,dec,pmra,pmdec,pmraerr,pmdecerr,gmag,rmag,imag,ndet,mjd,deltamjd,class_star,flags,random_id
28921_601,271.06557419928384,44.841928007102375,52.933655,-20.031647,165.15416,165.41383,22.25,21.9375,99.99,5,57674.622660407986,381.02258,0.673682,0,10.007835
27028_1280,270.46573865763946,46.44341148444551,14.2699,-144.63121,46.556118,51.024044,18.84375,18.26505,99.99,5,57608.59753994737,390.00983,0.417776,3,10.010492
30879_676,272.809497511767,43.10608345555138,27.143625,-6.297816,118.31593,118.47122,21.75365,21.105175,99.99,8,57716.75634758588,747.89575,0.219479,0,10.010673
31377_4111,271.5402105332243,43.182186787083026,-17.272772,-13.797731,115.51659,115.55346,19.023327,18.243746,99.99,7,57793.26551494262,736.9187,0.013809,3,10.011842
26103_4108,267.8687300422673,47.285627278865626,11.119156,5.693964,90.86348,90.88193,21.9375,21.227858,99.99,8,57713.281798001146,726.9637,0.141293,3,10.014703
28917_4906,268.4650936862105,45.02887075857211,35.315372,162.0871,220.55052,220.85211,21.703125,20.800383,99.99,6,57588.41805404952,362.99396,0.096036,0,10.01613
27494_3053,269.32892553398153,46.121110540036554,-188.10095,-207.36641,231.7905,231.9096,22.015625,21.453125,99.99,6,57704.272652112726,395.9856,0.051525,3,10.016355
31374_5800,269.8212972457705,43.25369892611418,53.63612,17.039524,40.84635,41.442654,22.046875,20.759699,99.99,7,57673.85702569836,380.0417,0.963658,0,10.017624
29401_1435,268.5857008061659,44.36752652735804,-46.512882,54.423683,33.969433,34.809715,21.3125,99.99,99.99,5,57744.02421937091,397.0076,0.912891,3,10.018544
30383_6863,272.14902201016645,43.565909482983194,-87.61025,-57.383995,68.94804,69.1871,21.562134,20.995535,99.99,10,57795.209155900964,717.06744,0.425421,0,10.019477
28438_1786,267.88597208050277,45.28222254261969,-5.37723,-67.48169,205.4853,205.48451,22.203125,21.754362,99.99,5,57739.80757749816,735.96533,0.128043,0,10.021795
31372_4651,268.1722681643734,43.0079871251274,34.196926,10.823519,120.89431,121.09092,21.127756,20.35675,99.99,9,57650.83483307405,414.80365,0.011139,0,10.023047
26102_2991,267.50425519969446,47.492506500496305,67.1226,-8.718899,84.99921,85.08184,21.183382,20.672813,99.99,12,57744.98449901969,726.9637,0.025169,3,10.028003
